TAXON_ORDER,SPECIES_CODE,COMMON_NAME,REASON,PRIORITY,PARTNER_REQUEST,CONT_MAX,CUSTOM_TAX_YEAR,BOW_LINK,MODEL_AS_RESIDENT,SUMMARIZE_AS_RESIDENT,LAND,STATUS,REVIEWER,LAST_REVIEWER,ANIMATION_QUALITY,NONBREEDING_START,NONBREEDING_END,PREBREEDING_MIGRATION_START,PREBREEDING_MIGRATION_END,BREEDING_START,BREEDING_END,POSTBREEDING_MIGRATION_START,POSTBREEDING_MIGRATION_END,RESIDENT_START,RESIDENT_TREND_START,RESIDENT_TREND_END,RESIDENT_END,NONBREEDING_QUALITY,PREBREEDING_MIGRATION_QUALITY,BREEDING_QUALITY,POSTBREEDING_MIGRATION_QUALITY,FULL_YEAR_QUALITY,SENSITIVE,FORCE_GLOBAL_PROJ,CUSTOM_ES,notes,LAST_SUBMISSION_TIME
18372,souwhi1,Southern Whiteface,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/souwhi1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,0.75,"Edges of range a little imprecise, especially in middle of country, but overall excellent.",2025-03-04T21:19:02.310Z
18388,strtho1,Striated Thornbill,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/strtho1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Fantastic detail.,2025-01-23T21:38:04.511Z
18402,brotho1,Brown Thornbill,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/brotho1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,06-07,08-30,12-27,3,3,3,3,3,,,,Maybe missing scarce inland Queensland birds.,2025-02-13T20:26:59.281Z
18417,burtho1,Buff-rumped Thornbill,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/burtho1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,0.75,Excellent.,2025-02-19T01:51:14.329Z
18428,broger1,Brown Gerygone,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/broger1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-02-13T20:16:08.191Z
18470,gobger1,Golden-bellied Gerygone,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/gobger1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"SE Asia mainland range understated overall, Sumatra & Borneo underextrapolated, can do better; rest good. Animation map tends to twitch too much in Malaysia.",2025-02-20T19:04:25.128Z
18497,gryger1,Gray Gerygone,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/gryger1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,08-16,11-08,12-27,3,3,3,3,3,,,,Excellent. Some seasonality in animation.,2024-08-25T00:26:46.944Z
18498,chiger2,Chatham Islands Gerygone,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/chiger2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,2,,,,,,,,,01-04,09-06,12-13,12-27,2,2,2,2,2,,,,Odd that it is missing SE island with so much data and high abundances reported there. Two instances where it pops up in North part of island which is inaccurate (and records have been reviewed to try reduce these inaccuracies). SW of island should be more purple based on local knowledge of species abundances. ,2024-09-01T01:12:29.143Z
18587,gycmin1,Gray-chinned Minivet,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/gycmin1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,1,,,,,,,,,01-04,12-27,05-31,12-27,2,2,2,2,2,,,,"2025: Static map has Nepal records missing & NW edge must stretch into WC Nepal. NE & E edge of range in China also too tight, must stretch further. NE India range missing in Mizoram. Vietnam & Sumatra underextrapolated overall; tiny bit missing in S Borneo. Animation map too twitchy with large parts of range disappearing in most months.
2023: Does quite well but missing much of range in Borneo, some in Sumatra, and peninsular Malaysia. Maybe a bit underextrapolated in China as well. Animation too noisy.",2025-02-24T20:21:56.033Z
18613,scamin3,Orange Minivet,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/scamin3/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,3,,,,,,,,,01-04,07-05,09-06,12-27,3,3,3,3,3,,,,"Northern edge can stretch slightly further up the Western Ghats (NE of Surat), otherwise nearly perfect. Northern edge in Sri Lanka can also stretch further up covering Wilpattu NP.",2025-02-21T01:52:21.274Z
18686,bkfcus1,Black-faced Cuckooshrike,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/bkfcus1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,06-07,08-09,08-16,10-11,10-18,03-08,03-15,05-31,,,,,2,2,3,2,2,,,0.75,"Animation on noisy side. Missing some islands in nonbreeding, but does a good job of capturing breeding pattern in Tasmania and NSW.",2025-02-19T02:07:43.770Z
18835,pietri1,Pied Triller,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/pietri1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-02-24T20:51:42.672Z
18842,bkwcus1,Black-winged Cuckooshrike,India,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/bkwcus1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,11-15,03-08,03-15,05-17,05-24,07-12,08-09,11-08,,,,,2,2,2,2,2,,,,"Animation misses large parts of the range at various times of year, especially in China. Winter range a bit underextrapolated in India. On the static maps most seasons pretty good, just missing parts of the range in China. Winter range seems underextrapolated in India. Edges of breeding range in SE Asia also seem to end too abruptly.",2025-02-06T23:00:05.460Z
18951,whiteh1,Whitehead,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/whiteh1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,10-11,02-08,12-27,3,3,3,3,3,,,,"Really good, with the odd pixel that seems to be overextrapolating.",2024-09-29T04:06:29.851Z
18952,yellow3,Yellowhead,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/yellow3/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,1,,,,,,,,,01-04,11-08,03-22,12-27,1,1,1,1,1,,,,Way over-extrapolated in north center of South Island still and connecting fragmented populations a bit too much around the southern range unfortunately.,2024-09-29T04:22:24.516Z
18953,pipipi1,Pipipi,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/pipipi1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,08-09,02-22,12-27,3,3,3,3,3,,,,Looks really strong for this species around known distribution and hot spots.,2024-09-15T01:59:38.705Z
18972,easwhi1,Eastern Whipbird,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/easwhi1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,06-07,10-25,12-27,3,3,3,3,3,,,,Excellent.,2025-01-31T16:47:01.345Z
19002,cresht1,Eastern Shrike-tit,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/cresht1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,0.75,Drastically underpredicts satellite populations in Adelaide and Cairns; core of range seems pretty good.,2025-02-06T16:53:42.147Z
19042,whbyuh1,White-bellied Erpornis,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/whbyuh1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,PS,2,,,,,,,,,01-04,01-25,05-03,12-27,2,2,2,2,2,,,,"2025: Range in W Nepal missing, gap in E Nepal overstated. NE edge in China too tight. China underextrapolated overall & gap (Guangxi/Guangdong) too disconnected. Speck of range in Sumatra & S Borneo missing entirely.
2023: Most of range really good, a tiny bit underextrapolated in mainland SE Asia, Kalimantan range missing, tiny population in Sumatra not represented.",2025-02-26T20:31:16.746Z
19051,rubpep1,Rufous-browed Peppershrike,Central America,1,,South America,,https://birdsoftheworld.org/bow/species/rubpep1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Animation a bit noisy. Reasonably honest throughout Amazon basin. Otherwise, excellent.",2024-09-12T15:50:55.975Z
19085,scrgre1,Scrub Greenlet,Central America,1,,South America,,https://birdsoftheworld.org/bow/species/scrgre1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Messy SE edge in Venezuela, otherwise quite good.",2024-12-26T02:32:34.643Z
19105,cssvir1,Chestnut-sided Shrike-Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/cssvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2024-09-01T19:54:03.820Z
19108,grsvir1,Green Shrike-Vireo,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/grsvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"Missing chunks of Oaxaca, Panama, and Nicaragua.",2024-09-15T19:17:35.909Z
19122,tacgre2,Ochre-crowned Greenlet,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/tacgre2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,,,,,,,,,,,,,,,,,,,,,,,
19127,tacgre4,Rufous-fronted Greenlet,Colombia,1,,North America,,https://birdsoftheworld.org/bow/species/tacgre4/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,,,,,,,,,,,,,,,,,,,,,,,
19136,lesgre1,Lesser Greenlet,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/lesgre1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,0.9,Excellent.,2024-09-24T20:58:00.735Z
19151,gofgre1,Golden-fronted Greenlet,Central America,1,,South America,,https://birdsoftheworld.org/bow/species/gofgre1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,1,1,1,1,1,,,0.75,Missing interior Venezuelan birds and some of the westernmost Panama birds.,2025-03-04T13:29:34.366Z
19157,golvir1,Golden Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/golvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Sparse on the northern edge, otherwise, great.",2024-09-01T22:11:34.238Z
19164,dwavir1,Dwarf Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/dwavir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,0,0,0,0,0,,,,Just not enough data to drive this. Oaxaca might be okay but a lot missing and a lot of presumption.,2024-09-13T19:16:47.154Z
19161,blmvir1,Blue Mountain Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/blmvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,0.99,Potentially overpredicted in the centre of the island.,2025-01-22T19:35:58.745Z
19162,slavir1,Slaty Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/slavir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,12-27,,,03-15,1,1,1,1,1,,,,"A fair amount of presumption going on here, especially between Oaxaca and Guerrero. Potentially further west to Puerto Vallarta, but unsure. Gap in Michoacán also unlikely.",2024-09-12T20:51:30.400Z
19165,whevir,White-eyed Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/whevir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,02-08,02-15,05-31,06-07,08-30,09-06,11-29,,,,,3,3,3,3,3,,,,Excellent.,2024-11-25T00:57:31.434Z
19174,thbvir,Thick-billed Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/thbvir/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,I can't find much to complain about. I think appropriately showing some signal in Florida and a little better in n. Cuba.,2024-12-12T14:56:28.943Z
19180,manvir1,Mangrove Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/manvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"West Mexico birds too restricted and maybe a little tight on a few other places away from Yucatan, otherwise, good.",2024-09-15T20:33:17.078Z
19191,cozvir1,Cozumel Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/cozvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,,2024-09-01T20:30:36.892Z
19193,jamvir1,Jamaican Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/jamvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Looks good.,2024-11-17T01:12:07.127Z
19196,flbvir1,Flat-billed Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/flbvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,0,0,0,0,0,,,,Almost comically bad. Way overpredicted all over the place and also missing the northern stronghold.,2024-11-18T00:00:36.277Z
19194,cubvir1,Cuban Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/cubvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2024-12-12T15:16:48.870Z
19195,purvir1,Puerto Rican Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/purvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,A little underpredicted on coasts.,2024-12-11T21:33:25.135Z
19197,belvir,Bell's Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/belvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,, MTA,3,11-15,02-22,03-01,05-24,05-31,08-09,08-16,11-08,,,,,3,3,3,3,3,,,,"Excellent. Non-breeding doesn't quite make it far enough down through El Salvador, otherwise, solid.",2024-10-11T19:23:16.645Z
19203,gryvir,Gray Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/gryvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,10-04,02-22,03-01,05-03,05-31,05-31,07-26,09-27,,,,,2,2,3,2,2,,,,"Still messy, but better in places. In breeding season, lots of overextrapolation across northern Mexico, especially too far east and south. Only one representative breeding week that doesn't push too far north in Utah or too far south in Arizona. Much better in both breeding and nonbreeding in interior Mexico, although som of the nonbreeding in Mexico is a touch messy (like being south of Los Mochis). ",2024-09-30T20:45:05.736Z
19204,hutvir,Hutton's Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/hutvir/cur/introduction#mig,TRUE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,01-11,,,03-15,09-27,,,01-04,12-06,04-26,12-27,3,0,3,0,3,,,,Missing s. Michoacán and w. Guerrero. Setting seasonal dates to capture retraction from BC during non-breeding. Some apparent downslope movement in Mexico.,2024-09-15T19:49:15.910Z
19220,yetvir,Yellow-throated Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/yetvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-08,02-15,02-22,05-24,05-31,08-16,08-23,11-01,,,,,3,3,3,3,3,,,,Excellent.,2024-11-26T21:17:49.747Z
19221,yewvir1,Yellow-winged Vireo,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/yewvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2024-12-07T15:29:50.136Z
19223,casvir,Cassin's Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/casvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,03-15,03-22,05-31,06-07,07-19,07-26,11-15,,,,,3,3,3,3,3,,,,Excellent.,2024-09-23T23:49:46.175Z
19226,buhvir,Blue-headed Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/buhvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-06,02-22,03-01,05-31,06-07,08-09,08-16,11-29,,,,,3,3,3,3,3,,,,Excellent.,2024-09-23T19:55:55.601Z
19231,plsvir,Plumbeous Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/plsvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-08,03-08,03-15,05-24,05-31,08-16,08-23,11-01,,,,,3,3,2,3,3,,,,Mexico has some holes in the year. Missing some chunks of NW and Central Mexico during breeding. Maybe a bit overreported on Baja during postbreeding migration. Breeding in US is excellent.,2024-10-14T19:40:57.904Z
19244,phivir,Philadelphia Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/phivir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,11-22,03-29,04-05,06-07,06-14,07-26,08-02,11-15,,,,,3,3,3,3,3,,,,"Gap formed during breeding in northern Manitoba and Sask, just not getting a lot of data up there. Eastern half of range is quite good.",2024-10-14T17:36:07.496Z
19245,eawvir1,Eastern Warbling Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/eawvir1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,,,,,,,,,,,,,,,,,,,,,,,2024-12-06T20:15:05.269Z
19247,wewvir2,Western Warbling Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/wewvir2/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,,,,,,,,,,,,,,,,,,,,,,,
19253,brcvir1,Brown-capped Vireo,Central America,1,,South America,,https://birdsoftheworld.org/bow/species/brcvir1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Really good. Gappy in Peru, but no records in eastern Peru. Bolivia restrictive.",2024-09-01T19:06:09.792Z
19267,reevir1,Red-eyed Vireo,US/CA,1,,North America,,https://birdsoftheworld.org/bow/species/reevir1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,3,12-13,02-15,02-22,06-07,06-14,08-09,08-16,12-06,,,,,2,3,3,3,3,,,,"Nonbreeding more restrained on eastern edge in Amazon this year, should go further east.",2024-10-08T19:58:54.208Z
19273,chivir1,Chivi Vireo,Colombia,1,,South America,,https://birdsoftheworld.org/bow/species/chivir1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,05-24,07-26,08-02,11-08,11-15,03-01,03-08,05-17,,,,,2,2,3,3,3,,,,"Pretty good overall, there's an area on NE Brasil/Colombia/Venezuela where presence of species dissappears randomly in the gif",2025-02-25T15:45:42.986Z
19287,yegvir,Yellow-green Vireo,Central America,1,,North America,,https://birdsoftheworld.org/bow/species/yegvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-22,12-27,01-04,05-17,05-24,08-23,08-30,11-15,,,,,1,3,3,3,3,,,,Nonbreeding has gotten very patchy and incomplete.,2024-12-07T15:02:28.450Z
19294,bkwvir,Black-whiskered Vireo,Caribbean,1,,North America,,https://birdsoftheworld.org/bow/species/bkwvir/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,10-25,02-01,02-08,05-10,05-17,08-16,08-23,10-18,,,,,1,2,3,2,2,,,,"Lost all of non-Caribbean non-breeding. A little oversensitive on the overshoots to w. FL, AL, LA, and TX. Missing Yucatan. Breeding is good.",2024-10-08T13:58:11.206Z
19302,yucvir,Yucatan Vireo,Mexico,1,,North America,,https://birdsoftheworld.org/bow/species/yucvir/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Animation a little jumpy on mainland. Otherwise, looks really good on coast this year.",2024-09-12T15:08:45.517Z
19318,grysht1,Gray Shrikethrush,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/grysht1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,BOW map shows a gap in interior N WA as now reflected; data in eBird has almost no positive obs and very few negative obs. Not sure what truth is. Marking as 2. ,2025-02-14T21:20:17.949Z
19374,oliwhi1,Olive Whistler,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/oliwhi1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,3,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-01-31T16:59:35.025Z
19529,grywhi2,Gray Whistler,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/grywhi2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,1,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,"Maybe slightly underpredicted around Darwin. Otherwise, great.",2025-01-31T16:51:44.784Z
19558,rufwhi1,Rufous Whistler,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/rufwhi1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,0,05-31,08-09,08-16,10-04,10-11,03-29,04-05,05-24,,08-16,11-08,,3,3,3,3,3,,,,"Animation a bit flashy between weeks, but final product and the seasons look great.",2025-01-23T21:31:59.168Z
19629,eugori2,Eurasian Golden Oriole,Europe,1,TRUE,Europe,,https://birdsoftheworld.org/bow/species/eugori2/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,11-15,02-22,03-01,05-24,05-31,07-26,08-02,11-08,,,,,1,2,2,2,2,,,,"In nonbreeding, lots of Africa problems, missing central and extrap to Mad. In breeding, the far eastern edge is very noisy, missing lots.",2025-02-05T12:44:00.943Z
19636,blnori1,Black-naped Oriole,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/blnori1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,2,11-08,03-22,03-29,05-24,05-31,08-09,08-16,11-01,,,,,2,3,2,2,3,,,,"2025: Nearly perfect overall, but NE edge of range a bit tight, can stretch into Mongolia & Russia Far East. Winter range for Sri Lanka missing entirely. Animation map very twitchy at end of breeding & fall migration. Winter & spring migration good. Btw 2&3, but retaining 3. 
2023: Does a fairly good job year round. Breeding range missing some of the northernmost areas and also ends too abruptly. Winter range quite good, maybe a bit over extrapolated in India. Migration not quite as good but still ok. Fall migration has some weird pulses in the animation.",2025-03-08T23:04:11.674Z
19697,marori2,Maroon Oriole,Asia,1,TRUE,Asia,,https://birdsoftheworld.org/bow/species/marori2/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,PS,1,11-08,03-29,,,04-05,06-07,,,,,,,1,0,2,0,2,,,,"2025: Animation still not great; the movement it shows don't seem to be rooted in real movements. Static maps are bad for seasons they show, though nonbreeding map not showing withdrawal from area where they're supposed to leave. Hainan still missing, but otherwise breeding map is good.

2023: Animation is rather bad, flickers in and out of lots of areas. The various seasons look a bit better, but still don't do a great job of showing movements in the areas where it is supposedly nonresident. Missing Hainan almost all weeks. Dates keep out of Fujian where it doesn't occur during many different times.",2025-03-15T18:52:45.557Z
19708,ausfig1,Australasian Figbird,Australia,1,,Oceania,,https://birdsoftheworld.org/bow/species/ausfig1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Underpredicted in western part of range. Inland extrap cleaned up this year.,2025-01-31T16:26:23.807Z
19738,whbwoo4,White-breasted Woodswallow,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/whbwoo4/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,05-31,08-02,08-09,09-13,09-20,04-26,05-03,05-24,,,,,2,2,2,2,2,,,,"Noisy animation, but shows clearing out of Victoria pretty well. As seasonal, it's still on the noisy side, especially on New Guinea and with regard to being resident on a lot of islands, especially the undervisited ones. ",2025-01-31T16:01:09.384Z
19749,maswoo1,Masked Woodswallow,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/maswoo1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,05-24,08-16,,,10-11,04-12,,,,,,,2,0,2,0,2,,,,"Animation, while jumpy, captures a north-south pulse in the year. Imprecise on some of the edges, but mostly great.",2025-01-23T20:34:10.415Z
19750,whbwoo5,White-browed Woodswallow,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/whbwoo5/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,2,05-17,08-02,08-09,12-06,12-13,02-01,02-08,05-10,,,,,2,2,2,2,2,,,,"Probably a little rough on the edges and incomplete in some areas, but does a great job of showing the movement of this species.",2025-02-17T14:16:33.110Z
19753,blfwoo1,Black-faced Woodswallow,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/blfwoo1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,2,,,,,,,,,01-04,,,12-27,3,3,3,3,3,,,,Excellent.,2025-01-23T14:57:20.443Z
19761,duswoo1,Dusky Woodswallow,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/duswoo1/cur/introduction#mig,FALSE,FALSE,LAND,UNREVIEWED,,MTA,1,05-24,08-09,,,10-18,03-22,,,,,,,2,0,2,0,2,,,,"Sparse in Queensland throughout the year, especially nonbreeding, but gets the major movements nicely.",2025-01-23T15:18:34.358Z
19773,grybut1,Gray Butcherbird,Australia,1,TRUE,Oceania,,https://birdsoftheworld.org/bow/species/grybut1/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,MTA,0,,,,,,,,,01-04,,,12-27,2,2,2,2,2,,,,"I think animation is mostly sampling and/or detectability, so canning. Northern edge is probably a little uncertain here, but we're being honest about where we can and can't predict. Otherwise, good.",2025-01-23T20:05:12.852Z
19793,ausmag2,Australian Magpie,New Zealand,1,,Oceania,,https://birdsoftheworld.org/bow/species/ausmag2/cur/introduction#mig,TRUE,TRUE,LAND,UNREVIEWED,,NZBA,3,,,,,,,,,01-04,12-06,05-10,12-27,3,3,3,3,3,,,,Excellent.,2024-10-26T03:13:23.382Z
